paper_id,Title,pdf_file,Citation count,Publisher,Institution name,Institution UKPRN code,Main panel,Unit of assessment name,Open access status,Year
P008174,A new patch selection method based on parsing and saliency detection for person re-identification,P008174.pdf,3.0,Unknown,university of ulster,10007807,B,computer science and informatics,Compliant,2019
P008265,A new verified compiler backend for CakeML,P008265.pdf,9.0,Unknown,the university of kent,10007150,B,computer science and informatics,Compliant,2016
P008296,A Non-Canonical Hybrid Metaheuristic Approach to Adaptive Data Stream Classification,P008296.pdf,4.0,Unknown,birmingham city university,10007140,B,computer science and informatics,Compliant,2019
P008339,A Nonproprietary Movement Analysis System (MoJoXlab) Based on Wearable Inertial Measurement Units Applicable to Healthy Participants and Those With Anterior Cruciate Ligament Reconstruction Across a Range of Complex Tasks: Validation Study,P008339.pdf,1.0,Unknown,the open university,10007773,B,computer science and informatics,Compliant,2020
P008371,A Novel 4-DOF Origami Grasper With an SMA-Actuation System for Minimally Invasive Surgery,P008371.pdf,42.0,Unknown,king's college london,10003645,B,computer science and informatics,Out of scope for open access requirements,2016
P008378,A Novel Adaptive Deformable Model for Automated Optic Disc and Cup Segmentation to Aid Glaucoma Diagnosis,P008378.pdf,18.0,Unknown,manchester metropolitan university,10004180,B,computer science and informatics,Compliant,2017
P008399,A Novel Approach to Detecting Epistasis using Random Sampling Regularisation,P008399.pdf,0.0,Unknown,liverpool john moores university,10003957,B,computer science and informatics,Compliant,2019
P008415,A novel artificial bee colony based clustering algorithm for categorical data,P008415.pdf,4.0,Unknown,heriot-watt university,10007764,B,computer science and informatics,Out of scope for open access requirements,2015
P008457,A novel deep mining model for effective knowledge discovery from omics data,P008457.pdf,3.0,Unknown,nottingham trent university,10004797,B,computer science and informatics,Compliant,2020
P008505,A novel Hexa data encoding method for 2D image crypto-compression,P008505.pdf,0.0,Unknown,sheffield hallam university,10005790,B,computer science and informatics,Compliant,2019
P008516,A novel hybrid firefly algorithm for global optimization,P008516.pdf,44.0,Unknown,middlesex university,10004351,B,computer science and informatics,Compliant,2016
P008643,A novel performance evaluation methodology for single-target trackers,P008643.pdf,203.0,Unknown,the university of birmingham,10006840,B,computer science and informatics,Out of scope for open access requirements,2016
P008662,A Novel Real-Time Moving Target Tracking and Path Planning System for a Quadrotor UAV in Unknown Unstructured Outdoor Scenes,P008662.pdf,9.0,Unknown,the university of essex,10007791,B,computer science and informatics,Compliant,2018
P008663,"A Novel Real-Time, Lightweight Chaotic-Encryption Scheme for Next-Generation Audio-Visual Hearing Aids",P008663.pdf,6.0,Unknown,edinburgh napier university,10007772,B,computer science and informatics,Out of scope for open access requirements,2019
P008664,"A novel real-time, lightweight chaotic-encryption scheme for next-generation audio-visual hearing-aids",P008664.pdf,6.0,Unknown,university of wolverhampton,10007166,B,computer science and informatics,Exception within 3 months of publication,2019
P008667,A Novel Reinforcement-Based Paradigm for Children to Teach the Humanoid Kaspar Robot,P008667.pdf,0.0,Unknown,university of hertfordshire,10007147,B,computer science and informatics,Compliant,2019
